Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
108,Slow Tit For Two Tats 2,2.6305439330543936,0.8920502092050209,3.0,1.0,0.7927475592747559,0.099302649930265,0.03612273361227336,0.07182705718270573,1.0,0.738849599245639,0.4596560846560846,0
109,Soft Go By Majority: 10,2.6284518828451886,0.8707112970711297,16.0,1.0,0.7539748953974895,0.11673640167364016,0.05913528591352859,0.0701534170153417,1.0,0.779339275981067,0.8080547112462005,0
110,Dynamic Two Tits For Tat,2.6280334728033474,0.8662482566248256,10.0,1.0,0.7635983263598326,0.10264993026499303,0.05090655509065551,0.08284518828451883,0.9679830985923005,0.5257232392774561,0.695640142021721,0.42614526503154326
111,"ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1",2.627196652719665,0.5545327754532775,148.0,1.0,0.47489539748953974,0.07963737796373781,0.18312412831241281,0.2623430962343096,0.812929580823388,0.6171404631150395,0.3827722785148288,0
112,DoubleResurrection,2.6263598326359836,0.6905160390516039,108.0,1.0,0.5382147838214784,0.15230125523012553,0.17545327754532777,0.13403068340306834,0.8666347577877714,0,1.0,0.15395743145743143
113,Burn Both Ends,2.617991631799163,0.7089260808926081,79.0,1.0,0.598047419804742,0.1108786610878661,0.13821478382147837,0.15285913528591352,0.892019926189746,0,0.9160969817219816,0
114,Win-Stay Lose-Shift,2.616317991631799,0.8423988842398884,19.0,1.0,0.7298465829846583,0.11255230125523012,0.06596931659693166,0.09163179916317991,1.0,0,0,1.0
115,Prober 3,2.615899581589958,0.27266387726638774,135.0,0.0,0.12384937238493725,0.1488145048814505,0.38131101813110185,0.34602510460251046,0.9250219566009039,0,0.6883241413585784,0.328472431960804
116,"ZD-Extort-2 v2: 0.125, 0.5, 1",2.614225941422594,0.6334728033472803,115.0,1.0,0.5379358437935844,0.09553695955369595,0.1571827057182706,0.2093444909344491,0.8682574753363086,0.5762539184952978,0.47731417518651564,0
117,Meta Winner Stochastic: 68 players,2.614225941422594,0.3483960948396095,179.0,1.0,0.24588563458856347,0.10251046025104603,0.30529986052998603,0.3463040446304045,0.530386481989046,0.5208675424192666,0.21965875560540088,0.25249954985015677
118,GTFT: 0.33,2.613807531380753,0.9006973500697351,0.0,1.0,0.7899581589958159,0.1107391910739191,0.03626220362622036,0.06304044630404462,1.0,0.42259842870307995,1.0,0.4143375492432096
119,Prober,2.613807531380753,0.4691771269177127,89.0,0.0,0.3211994421199442,0.1479776847977685,0.28005578800557884,0.2507670850767085,0.8082490409319678,0.6019122190263131,0.7565338752838753,0.44377018043684713
120,VeryBad,2.61255230125523,0.8937238493723849,4.0,1.0,0.7880055788005579,0.10571827057182705,0.03542538354253835,0.0708507670850767,0.9992625368731562,0.7659402625422043,0.8137755102040816,0
121,"ZD-GEN-2: 0.125, 0.5, 3",2.610460251046025,0.8760111576011158,13.0,1.0,0.7654114365411436,0.11059972105997211,0.04769874476987448,0.07629009762900976,1.0,0.530017205017205,0.6183641975308642,0.22641807952812737
122,Hard Tit For 2 Tats,2.606276150627615,0.902928870292887,0.0,1.0,0.7948396094839609,0.10808926080892607,0.03138075313807531,0.06569037656903766,1.0,0.7285174946066036,0.46695402298850575,0.5324143692564745
123,Detective,2.601673640167364,0.5543933054393305,66.0,1.0,0.398047419804742,0.15634588563458857,0.24114365411436542,0.20446304044630403,0.6449097603184972,0.5794039294039295,0.7855751271335685,0.5316273343059057
124,Stochastic Cooperator,2.601673640167364,0.7232914923291492,78.0,1.0,0.6057182705718271,0.11757322175732218,0.1298465829846583,0.14686192468619247,0.926476429337638,0.3720411532911532,0.4112239977958396,0.5338464083687015
125,Appeaser,2.600836820083682,0.8403068340306834,22.0,1.0,0.7262203626220363,0.11408647140864714,0.06666666666666667,0.09302649930264993,1.0,0,0,1.0
126,Second by Leyvraz,2.6,0.8725244072524407,4.0,1.0,0.7588563458856347,0.11366806136680614,0.05090655509065551,0.07656903765690377,0.9493992921621836,0.4977310287916349,0.7897656492593202,0.5794842219184324
127,Evolved ANN 5 Noise 05,2.599581589958159,0.9311018131101814,8.0,1.0,0.8026499302649931,0.12845188284518827,0.03165969316596932,0.037238493723849374,0.9907010014306152,0.8182950920790288,0.9314465408805032,0.5303030303030303
128,"ZD-Extort-2: 0.1111111111111111, 0.5",2.592050209205021,0.6369595536959554,113.0,1.0,0.5423988842398884,0.09456066945606695,0.1517433751743375,0.2112970711297071,0.8731891089491438,0.6379809482632063,0.4533936301793445,0
129,Delayed AON1,2.5916317991631797,0.8457461645746165,18.0,1.0,0.7266387726638772,0.1191073919107392,0.06638772663877267,0.08786610878661087,0.9911042277054138,0.3693386243386243,0,1.0
130,Meta Winner Ensemble: 217 players,2.591213389121339,0.32398884239888426,167.0,0.9456066945606695,0.2107391910739191,0.11324965132496513,0.3209205020920502,0.35509065550906554,0.4391161616161616,0.4397139431312094,0.24512846169957908,0.27898936749595843
131,Nice Meta Winner: 217 players,2.5895397489539747,0.8815899581589958,17.0,1.0,0.7502092050209206,0.13138075313807532,0.05369595536959554,0.06471408647140865,0.9347495076298638,0.8564696981295278,0.4593025493025493,0.5603556166056166
132,Tit For 2 Tats,2.588284518828452,0.9200836820083682,0.0,1.0,0.8086471408647141,0.11143654114365412,0.02175732217573222,0.05815899581589958,1.0,0.7463997113997114,1.0,0
133,Second by Cave,2.587866108786611,0.9251046025104602,0.0,1.0,0.797768479776848,0.12733612273361228,0.030264993026499303,0.044630404463040445,1.0,0.5145750083250084,1.0,0.6140022271966716
134,Meta Winner Long Memory: 136 players,2.5874476987447697,0.6082287308228731,136.0,1.0,0.4302649930264993,0.17796373779637378,0.2301255230125523,0.1616457461645746,0.6610226161450478,0.7170165597576652,0.4941995041995042,0.7270524614274615
